Procedencia_transcrito,Procedencia_estandar,Procedencia_extendido,Freq,Npartes,Nfalta,IDs,Procedencia_alcaldia
33a+38a,COY-5+HB,Coord Territorial 5 Coyoacan (Col CTM-Culhuacan) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1982_00078,Coyoacan + Venustiano Carranza
33a /30a,HB+MH-4,Coord Territorial 4 Miguel Hidalgo (Col Ampliacion Daniel Garza) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1979_01329,Miguel Hidalgo + Venustiano Carranza
13a delg.,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1973_06152,Gustavo A Madero
15a Deleg.,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1973_04466,Gustavo A Madero
15a Deleg Xochimilco,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1971_01917,Gustavo A Madero
15 Delg,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1973_06159,Gustavo A Madero
14a deleg.,AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),1,1,0,BO_1972_04478,Azcapotzalco
14a deelg,AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),1,1,0,BO_1973_01444,Azcapotzalco
14a Deleg. ,AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),1,1,0,BO_1972_01596,Azcapotzalco
147,147,,1,1,0,BO_1981_04224,
14 deleg,AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),1,1,0,BO_1973_01203,Azcapotzalco
14 Delegacion,AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),1,1,0,BO_1973_05491,Azcapotzalco
14 Deleg,AZC-2,Coord Territorial 2 Azcapotzalco (Col Del Maestro),1,1,0,BO_1973_01140,Azcapotzalco
13s,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1982_01172,Gustavo A Madero
13a. Deleg.,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1972_01369,Gustavo A Madero
"13a, Delegacion",GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1973_05408,Gustavo A Madero
13a eleg,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1973_04266,Gustavo A Madero
13a dele,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1973_01777,Gustavo A Madero
1687,1687,,1,1,0,BO_1980_01642,
13a Deleg Iztapalapa,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1971_01011,Gustavo A Madero
13 deleg.,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1972_04105,Gustavo A Madero
13 Delegacion,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1973_06100,Gustavo A Madero
12a Delegacion,BJ-2,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac),1,1,0,BO_1973_05469,Benito Juarez
12A-II,BJ-2,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac),1,1,0,BO_1977_01194,Benito Juarez
121,121,,1,1,0,BO_1981_07308,
120-I,120-I,,1,1,0,BO_1977_01340,
11a delegacion,MH-5,Coord Territorial 5 Miguel Hidalgo (Col Ampliacion Daniel Garza),1,1,0,BO_1972_04566,Miguel Hidalgo
115a,115a,,1,1,0,BO_1978_01190,
1136,1136,,1,1,0,BO_1973_01635,
10a+8a,BJ-1+BJ-3,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac) + Coord Territorial 3 Benito Juarez (Col Zacahuizco),1,2,0,BO_1982_02048,Benito Juarez
10 a deleg,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),1,1,0,BO_1969_04725,Benito Juarez
10 Del.,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),1,1,0,BO_1968_02167,Benito Juarez
1 deleg,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1969_02744,Cuauhtemoc
15a Delegacion,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1973_06061,Gustavo A Madero
17a 33a,HB+VC-3,Coord Territorial 3 Venustiano Carranza – Hospital De  Balbuena (Col Jardin Balbuena) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1978_02417,Venustiano Carranza
3352,3352,,1,1,0,BO_1974_01693,
261a,261a,,1,1,0,BO_1978_04855,
334,334,,1,1,0,BO_1980_03252,
332a,332a,,1,1,0,BO_1979_05210,
32a+37a,COY-2+CR,Coord Territorial 2 Coyoacan (Col Romero de Terreros) + Cruz Roja (Col Polanco),1,2,0,BO_1982_03088,Coyoacan + Miguel Hidalgo
31032,31032,,1,1,0,BO_1973_05527,
31,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),1,1,0,BO_1981_04237,Benito Juarez
2a delegacion,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),1,1,0,BO_1969_00812,Venustiano Carranza
2a deleg.,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),1,1,0,BO_1972_01627,Venustiano Carranza
2a Ixtacalco,IZC-2,Coord Territorial 2 Iztacalco (Col Gabriel Ramos Millan),1,1,0,BO_1972_01286,Iztacalco
2a Delg,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),1,1,0,BO_1969_00810,Venustiano Carranza
2a Deleg},VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),1,1,0,BO_1973_01185,Venustiano Carranza
2a (A N 102),VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),1,1,0,BO_1979_01574,Venustiano Carranza
28a deleg,TLH-2,Coord Territorial 2 Tlahuac (Col Barrio La Asuncion),1,1,0,BO_1973_03361,Tlahuac
27A,XO-2,Coord Territorial 2 Xochimilco (Barrio de San Pedro),1,1,0,BO_1982_06292,Xochimilco
26a deleg,CUJ-1,Coord Territorial 1 Cuajimalpa (Col Cuajimalpa Centro),1,1,0,BO_1973_03495,Cuauhtemoc
24a 282,24a 282,,1,1,0,BO_1978_00535,
17a Del.,VC-3,Coord Territorial 3 Venustiano Carranza – Hospital De  Balbuena (Col Jardin Balbuena),1,1,0,BO_1968_01295,Venustiano Carranza
23a y 34a,COY-2+TLP-2,Coord Territorial 2 Coyoacan (Col Romero de Terreros) + Coord Territorial 2 Tlalpan (Col La Joya),1,2,0,BO_1977_05589,Coyoacan + Tlalpan
23a y 32a,COY-2+TLP-2,Coord Territorial 2 Coyoacan (Col Romero de Terreros) + Coord Territorial 2 Tlalpan (Col La Joya),1,2,0,BO_1979_03147,Coyoacan + Tlalpan
224a,224a,,1,1,0,BO_1979_04997,
222,222,,1,1,0,BO_1981_02570,
21a - 34a,GAM-2+HGRL,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1978_03076,Gustavo A Madero + Miguel Hidalgo
20 Delegacion,IZP-5,Coord Territorial 5 Iztapalapa (Col V Guerrero),1,1,0,BO_1973_05521,Iztapalapa
1a y/o 34a,CUH-1+HGRL,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1979_02122,Cuauhtemoc + Miguel Hidalgo
1a dele,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1969_01143,Cuauhtemoc
1a deelg,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1973_01783,Cuauhtemoc
1a Delegacion,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1973_05181,Cuauhtemoc
19a xoco,HX+IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas) + Hospital Xoco (Col General Anaya),1,2,0,BO_1979_01779,Benito Juarez + Iztapalapa
18a deleg,IZC-2,Coord Territorial 2 Iztacalco (Col Gabriel Ramos Millan),1,1,0,BO_1973_01529,Iztacalco
17a deleg,VC-3,Coord Territorial 3 Venustiano Carranza – Hospital De  Balbuena (Col Jardin Balbuena),1,1,0,BO_1973_01886,Venustiano Carranza
17a Deleg,VC-3,Coord Territorial 3 Venustiano Carranza – Hospital De  Balbuena (Col Jardin Balbuena),1,1,0,BO_1971_01934,Venustiano Carranza
AZO.1,AZC-1,Coord Territorial 1 Azcapotzalco (Col El Rosario),1,1,0,BO_1976_05083,Azcapotzalco
B-AZ-1,AZC-1,Coord Territorial 1 Azcapotzalco (Col El Rosario),1,1,0,BO_1975_01826,Azcapotzalco
Centro M.,CMN20N,Hospital Centro Medico Nacional 20 de Noviembre (Col del Valle Sur),1,1,0,BO_1972_01241,Benito Juarez
GAM-1-MH-HRL,GAM-1+HGRL,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1975_05633,Gustavo A Madero + Miguel Hidalgo
GAM-1-HV,GAM-1+HV,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo) + Hospital la Villa (Col Granjas Modernas),1,2,0,BO_1975_00823,Gustavo A Madero
GAM- HV,HV,Hospital la Villa (Col Granjas Modernas),1,1,0,BO_1976_00267,Gustavo A Madero
GAM II,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1977_06024,Gustavo A Madero
GA-II,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),1,1,0,BO_1977_02988,Gustavo A Madero
G. xoco,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1972_03790,Benito Juarez
EMGM,EMGM,,1,1,0,BO_1977_00434,
EAM-HV,HV,Hospital la Villa (Col Granjas Modernas),1,2,1,BO_1975_00050,Gustavo A Madero
E-HX,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1976_05611,Benito Juarez
Disp.,Disp.,,1,1,0,BO_1973_04248,
Cuauhtemoc,CUH,Cuauhtemoc,1,1,0,BO_1973_03504,Cuauhtemoc
Coyoacan (Xoco),HX,Hospital Xoco (Col General Anaya),1,2,1,BO_1971_01749,Benito Juarez
Ch-1,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1975_06265,Cuauhtemoc
CV/1,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1975_00015,Cuauhtemoc
GAM-5,GAM-5,Coord Territorial 5 Gustavo A Madero (Col San Juan de Aragon),1,1,0,BO_1976_03691,Gustavo A Madero
CV-HB,HB+TLP-2,Coord Territorial 2 Tlalpan (Col La Joya) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1975_01101,Tlalpan + Venustiano Carranza
CV-1 CR,CR+CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Cruz Roja (Col Polanco),1,2,0,BO_1975_01077,Cuauhtemoc + Miguel Hidalgo
CU-I-,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1977_06938,Cuauhtemoc
CU-4,CU-4,,1,1,0,BO_1975_01289,
CR Ia deleg,CR+CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Cruz Roja (Col Polanco),1,2,0,BO_1973_01317,Cuauhtemoc + Miguel Hidalgo
COyoacan,COY-1,Coord Territorial 1 Coyoacan (Col Romero de Terreros),1,1,0,BO_1969_01063,Coyoacan
CM C-HX,HCMS21+HX,Hospital Centro Médico Nacional Siglo XXI (Col Doctores) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_02738,Benito Juarez + Cuauhtemoc
CIHX,HX,Hospital Xoco (Col General Anaya),1,2,1,BO_1975_01535,Benito Juarez
CI-HX,HX,Hospital Xoco (Col General Anaya),1,2,1,BO_1975_06841,Benito Juarez
CHX-MH-1,HX+MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_01455,Benito Juarez + Miguel Hidalgo
CH-VC-HB,CUH-1+HB,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Hospital Balbuena (Col Jardin Balbuena),1,3,1,BO_1975_03827,Cuauhtemoc + Venustiano Carranza
CH-HB-4,CUH-1+HB,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1975_02985,Cuauhtemoc + Venustiano Carranza
CH-HB,CUH-1+HB,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1975_02188,Cuauhtemoc + Venustiano Carranza
GAM-2-HV,GAM-2+HV,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa) + Hospital la Villa (Col Granjas Modernas),1,2,0,BO_1975_04279,Gustavo A Madero
GAM-6,GAM-6,,1,1,0,BO_1976_01215,
BC-I,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),1,1,0,BO_1977_01666,Benito Juarez
H,H,,1,1,0,BO_1974_01630,
H.Balb.,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1972_03935,Venustiano Carranza
H.B.,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1972_01952,Venustiano Carranza
H. xoco,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1972_03370,Benito Juarez
H. del R. Leñero,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1972_01899,Miguel Hidalgo
H. de V.,HV,Hospital la Villa (Col Granjas Modernas),1,1,0,BO_1972_01944,Gustavo A Madero
H. T. B,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1971_01263,Venustiano Carranza
H. G. La Villa,HV,Hospital la Villa (Col Granjas Modernas),1,1,0,BO_1971_01003,Gustavo A Madero
H. Cruz Roja,CR,Cruz Roja (Col Polanco),1,1,0,BO_1971_01339,Miguel Hidalgo
H. Balbuena,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1971_01352,Venustiano Carranza
H. B. T.,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1971_00917,Venustiano Carranza
H-B-CH-4,CUH-4+HB,Coord Territorial 4 Cuauhtémoc (Col Centro) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1975_06062,Cuauhtemoc + Venustiano Carranza
H Villa,HV,Hospital la Villa (Col Granjas Modernas),1,1,0,BO_1969_01012,Gustavo A Madero
H Balbuena,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1969_01013,Venustiano Carranza
Grupo V,STCMZV,Sistema de Transporte Colectivo Metro Zarco y Violeta (Col Guerrero),1,1,0,BO_1972_02037,Cuauhtemoc
GAM-H-V-CH-2,CUH-2+GAM-1+HV,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo) + Coord Territorial 2 Cuauhtémoc (Col Buenavista) + Hospital la Villa (Col Granjas Modernas),1,3,0,BO_1975_00638,Cuauhtemoc + Gustavo A Madero
Grupo 1o,Grupo 1o,,1,1,0,BO_1972_04581,
Gpo. 4-,Gpo. 4-,,1,1,0,BO_1973_05445,
GH-1,GH-1,,1,1,0,BO_1975_06859,
GAM1,GAM-1,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo),1,1,0,BO_1975_01561,Gustavo A Madero
GAM-VI,GAM-6,,1,1,0,BO_1976_01991,
GAM-V,GAM-5,Coord Territorial 5 Gustavo A Madero (Col San Juan de Aragon),1,1,0,BO_1976_06432,Gustavo A Madero
GAM-IV-,GAM-4,Coord Territorial 4 Gustavo A Madero (Col Aragon la Villa),1,1,0,BO_1977_06984,Gustavo A Madero
GAM-II+HX,GAM-2+HX,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa) + Hospital Xoco (Col General Anaya),1,2,0,BO_1976_00793,Benito Juarez + Gustavo A Madero
GAM-HV-I,GAM-1+HV,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo) + Hospital la Villa (Col Granjas Modernas),1,2,0,BO_1976_01550,Gustavo A Madero
GAM-HV-CM,GAM-1+HCMS21+HV,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo) + Hospital Centro Médico Nacional Siglo XXI (Col Doctores) + Hospital la Villa (Col Granjas Modernas),1,3,0,BO_1975_01632,Cuauhtemoc + Gustavo A Madero
GAM-HV-2,GAM-1+HV,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo) + Hospital la Villa (Col Granjas Modernas),1,2,0,BO_1975_06860,Gustavo A Madero
GAM-HV-1,GAM-1+HV,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo) + Hospital la Villa (Col Granjas Modernas),1,2,0,BO_1975_00824,Gustavo A Madero
GAM-HV+HX,GAM-1+HV+HX,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo) + Hospital Xoco (Col General Anaya) + Hospital la Villa (Col Granjas Modernas),1,3,0,BO_1976_00794,Benito Juarez + Gustavo A Madero
GAM-HC,CUH-7+GAM-1,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo) + Coord Territorial 7 Cuauhtemoc (Col Roma),1,2,0,BO_1975_00033,Cuauhtemoc + Gustavo A Madero
CH-CR,CR,Cruz Roja (Col Polanco),1,2,1,BO_1975_03799,Miguel Hidalgo
CH-2 HV,HV,Hospital la Villa (Col Granjas Modernas),1,2,1,BO_1975_02438,Gustavo A Madero
CH-1 MH-HRL,CUH-1+HGRL,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1975_01741,Cuauhtemoc + Miguel Hidalgo
BJH20N,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),1,1,0,BO_1977_04762,Cuauhtemoc
C-A,C-A,,1,1,0,BO_1976_06416,
C-2,C-2,,1,1,0,BO_1975_04183,
C-1-HX,CUH-1+HX,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_05038,Benito Juarez + Cuauhtemoc
C-1 IZA-1,CUH-1+IZP-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Coord Territorial 1 Iztapalapa (Barrio de San Lucas),1,2,0,BO_1975_00829,Cuauhtemoc + Iztapalapa
C-/C/HX,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1975_06785,Benito Juarez
C+HX,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1976_00970,Benito Juarez
C I,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1977_05972,Cuauhtemoc
C -I,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1977_05872,Cuauhtemoc
C -HX,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1977_05977,Benito Juarez
C,C,,1,1,0,BO_1975_05458,
Bab.,HB,Hospital Balbuena (Col Jardin Balbuena),1,1,0,BO_1971_03404,Venustiano Carranza
BT-CH,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,2,1,BO_1975_00158,Cuauhtemoc
BLI,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),1,1,0,BO_1977_05837,Benito Juarez
BL-I,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),1,1,0,BO_1977_05846,Benito Juarez
BJ-JM,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),1,1,0,BO_1977_01342,Cuauhtemoc
CH - VI,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),1,1,0,BO_1977_05868,Cuauhtemoc
BJ-CM-MH-HRL,HCMS21+HGRL,Hospital Centro Médico Nacional Siglo XXI (Col Doctores) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1975_06754,Cuauhtemoc + Miguel Hidalgo
BJ-CM-GAM-1,GAM-1+HCMS21,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo) + Hospital Centro Médico Nacional Siglo XXI (Col Doctores),1,2,0,BO_1975_04205,Cuauhtemoc + Gustavo A Madero
BJ-CM-C,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),1,1,0,BO_1975_06832,Cuauhtemoc
BJ-CM+MH-HRL,HCMS21+HGRL,Hospital Centro Médico Nacional Siglo XXI (Col Doctores) + Hospital Ruben Leñero (Col Santo Tomas),1,2,0,BO_1977_02540,Cuauhtemoc + Miguel Hidalgo
BJ-CM+CH-I,CUH-1+HCMS21,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Hospital Centro Médico Nacional Siglo XXI (Col Doctores),1,2,0,BO_1977_03005,Cuauhtemoc
BJ-CM VC-HB,HB+HCMS21,Hospital Balbuena (Col Jardin Balbuena) + Hospital Centro Médico Nacional Siglo XXI (Col Doctores),1,2,0,BO_1975_01738,Cuauhtemoc + Venustiano Carranza
BJ-CHX,BJ-1+HX,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac) + Hospital Xoco (Col General Anaya),1,2,0,BO_1976_01898,Benito Juarez
BJ-2 C-HX,BJ-1+HX,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_03945,Benito Juarez
BJ-1-3,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),1,1,0,BO_1975_05949,Benito Juarez
BJ-1 MH-CR,BJ-1+CR,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac) + Cruz Roja (Col Polanco),1,2,0,BO_1975_00127,Benito Juarez + Miguel Hidalgo
BJ-1 C-CV,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),1,2,1,BO_1975_01757,Benito Juarez
BJ- CM,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),1,1,0,BO_1976_00016,Cuauhtemoc
BI-I,BJ-1,Coord Territorial 1 Benito Juarez (Col Santa Cruz Atoyac),1,1,0,BO_1977_03833,Benito Juarez
BI-CM,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),1,1,0,BO_1977_01473,Cuauhtemoc
C-C-1,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1976_03790,Cuauhtemoc
C-CH,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1975_00998,Cuauhtemoc
C-GAM-HV,GAM-1+HB,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo) + Hospital Balbuena (Col Jardin Balbuena),1,2,0,BO_1975_01347,Gustavo A Madero + Venustiano Carranza
C-H,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1977_01768,Cuauhtemoc
C/HX/Xoco,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1973_01767,Benito Juarez
C/1,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1975_00020,Cuauhtemoc
C.M.Nal.,CMN20N,Hospital Centro Medico Nacional 20 de Noviembre (Col del Valle Sur),1,1,0,BO_1973_04245,Benito Juarez
C.M.N.,CMN20N,Hospital Centro Medico Nacional 20 de Noviembre (Col del Valle Sur),1,1,0,BO_1973_03089,Benito Juarez
C.M,HCMS21,Hospital Centro Médico Nacional Siglo XXI (Col Doctores),1,1,0,BO_1973_04489,Cuauhtemoc
C.HX,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1975_00335,Benito Juarez
C. R. N 2a Deleg,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),1,2,1,BO_1971_00924,Venustiano Carranza
C. R. Cela,C. R. Cela,,1,1,0,BO_1971_01331,
C. R.,CR,Cruz Roja (Col Polanco),1,1,0,BO_1971_01409,Miguel Hidalgo
C. M. Nal.,CMN20N,Hospital Centro Medico Nacional 20 de Noviembre (Col del Valle Sur),1,1,0,BO_1971_01317,Benito Juarez
C-X-1,C-X-1,,1,1,0,BO_1975_01317,
C-VC-HV,HV,Hospital la Villa (Col Granjas Modernas),1,2,1,BO_1975_05199,Gustavo A Madero
C-MH-I,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),1,1,0,BO_1976_00645,Miguel Hidalgo
C-MH-2,MH-2,Coord Territorial 2 Miguel Hidalgo (Col Pensil),1,1,0,BO_1975_03885,Miguel Hidalgo
C-MH-1,MH-1,Coord Territorial 1 Miguel Hidalgo – Hospital Ruben Leñero (Col Tacuba),1,1,0,BO_1975_04137,Miguel Hidalgo
C-MH+HRL,HGRL,Hospital Ruben Leñero (Col Santo Tomas),1,1,0,BO_1976_03050,Miguel Hidalgo
C-I [HX],CUH-1+HX,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac) + Hospital Xoco (Col General Anaya),1,2,0,BO_1976_00610,Benito Juarez + Cuauhtemoc
C-HX-MH-HRL-C,HGRL+HX,Hospital Ruben Leñero (Col Santo Tomas) + Hospital Xoco (Col General Anaya),1,2,0,BO_1975_02926,Benito Juarez + Miguel Hidalgo
C-HX-1,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1975_01202,Benito Juarez
C-HX+IZA-I ,HX+IZP-1,Coord Territorial 1 Iztapalapa (Barrio de San Lucas) + Hospital Xoco (Col General Anaya),1,2,0,BO_1976_02104,Benito Juarez + Iztapalapa
C-HX+AO-I,AO-1+HX,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey) + Hospital Xoco (Col General Anaya),1,2,0,BO_1977_01635,Alvaro Obregon + Benito Juarez
C-HI,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1977_01466,Cuauhtemoc
C-HC,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1976_06102,Cuauhtemoc
C-H-I,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1977_02661,Cuauhtemoc
C-H-H,CUH-1,Coord Territorial 1 Cuauhtemoc (Col San Simon Tolnahuac),1,1,0,BO_1975_02982,Cuauhtemoc
C-H-6,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),1,1,0,BO_1975_00171,Cuauhtemoc
C-H-5,CUH-5,Coord Territorial 5 Cuauhtémoc (Col Santa María La Ribera),1,1,0,BO_1975_04311,Cuauhtemoc
xoco,HX,Hospital Xoco (Col General Anaya),1,1,0,BO_1973_04285,Benito Juarez
