Procedencia_transcrito,Procedencia_estandar,Procedencia_extendido,Freq,Npartes,Nfalta,IDs,Procedencia_alcaldia
CH-6,CUH-6,Coord Territorial 6 Cuauhtemoc (Col Centro),193,1,0,"BO_1975_00043,BO_1975_00059,BO_1975_00080,BO_1975_00191,BO_1975_00423",Cuauhtemoc
2,VC-1,Coord Territorial 1 Venustiano Carranza (Col Merced),191,1,0,"BO_1980_00060,BO_1980_00115,BO_1980_00258,BO_1980_00615,BO_1980_00678",Venustiano Carranza
21,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),191,1,0,"BO_1980_00064,BO_1980_00153,BO_1980_00204,BO_1980_00326,BO_1980_00365",Gustavo A Madero
12,BJ-2,Coord Territorial 2 Benito Juarez (Col Santa Cruz Atoyac),188,1,0,"BO_1980_00003,BO_1980_00049,BO_1980_00185,BO_1980_00277,BO_1980_00290",Benito Juarez
GAM-I,GAM-1,Coord Territorial 1 Gustavo A Madero (Col Cuautepec Barrio Bajo),187,1,0,"BO_1976_00018,BO_1976_00048,BO_1976_00060,BO_1976_00064,BO_1976_00069",Gustavo A Madero
MH-2,MH-2,Coord Territorial 2 Miguel Hidalgo (Col Pensil),185,1,0,"BO_1975_00138,BO_1975_00249,BO_1975_00265,BO_1975_00294,BO_1975_00375",Miguel Hidalgo
3,CUH-7,Coord Territorial 7 Cuauhtemoc (Col Roma),184,1,0,"BO_1980_00128,BO_1980_00252,BO_1980_00295,BO_1980_00396,BO_1980_00413",Cuauhtemoc
AO-I,AO-1,Coord Territorial 1 Alvaro Obregon (Col Cristo Rey),183,1,0,"BO_1976_00001,BO_1976_00007,BO_1976_00082,BO_1976_00086,BO_1976_00094",Alvaro Obregon
13a deleg,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),182,1,0,"BO_1969_00833,BO_1969_00834,BO_1969_00840,BO_1969_00865,BO_1969_00930",Gustavo A Madero
13a Deleg,GAM-2,Coord Territorial 2 Gustavo A Madero (Col Aragon La Villa),182,1,0,"BO_1969_00782,BO_1969_00783,BO_1969_00784,BO_1969_00797,BO_1969_00802",Gustavo A Madero
